sentence,label
就 喜欢 这样 的 文艺片 ，,1
我 还是 没有 豆瓣 网友 这么 高 的 水平 ， 看不到 什么 剪辑 混乱 故事 叙述 不清 的 层次 ， 这么 多年 我 的 水平 也 一直 很 肤浅 ， 判断 一个 电影 好坏 的 标准 就是 看 它 能 不能 让 我 感动 ， 乘风破浪 它 让 我 感动 了 ， 我 觉得 它 是 一个 好 的 电影 ， 韩寒 没有 让 人 失望 。 关于 直男癌 这个 说法 ， 抱歉 我 作为 一个 女生 ， 并 没有 看出 任何 直男癌 的 成分 。,1
并 不是 很直 男癌 啊 ？ 难道 是我太 直 男 了,1
讲 的 是 一个男孩 喜欢 赛车  比赛 得 了 冠军  他爸 反对  他开 着 赛车 带 着 他 爸 回家 的 时候 出车祸 了  然后 就 会 到 了 他 爸爸 那个年代  发生 了 很多 有趣 的 事,1
知道 韩寒 有些 赛车 的 情节 、 兄弟 义气 的 情节 、 妓女 边缘 人物 的 情节 等等 一堆 情节 … … 可是 中国 是 没 导演 了 吗 ？ 还有 王宝强 的 片 也 是 ， 看 完 都 要 回家 撸 几个 经典 老片 洗洗 眼 ！,1
故事 还是 挺 喜欢 的 ， 很 有 80 后 的 视觉 感 ， 有些 细节 待 加强 处理 ， 总体 来说 ， 值得 去 看,1
总 想 感慨 点 什么 ， 但是 看 完 又 不 知道 该 感慨 啥,1
在 电影院 看到 的 最 好看 的 电影 。 良心 评价 7.5 - 8 分 。 看到 豆瓣 评分 6.9 就 给 了 10 分 。 属于 买票 看 电影 完全 不会 后悔 ， 能 从头 看到 尾 也 能 从头 笑 到 尾 的 电影 。,1
傻 逼 太 多 ， 各种 脑残 黑子 ， 说实话 值得 看 ， 吊打 其他 春节 档 ， 给 5 星 平衡 一下 吧,1
第一次 一个 人去 电影院 看 电影 。 演员 都 选 的 很 不错 哦 ， 把 一个 三星 的 剧情 演到 了 4 星 ， 李荣浩 好 可爱 哈哈哈 ，,1
笑点 里 穿插着 泪点 ， 回味 起来 没有 《 后会无期 》 那么 文艺 ， 只 记得 几段 配乐 非常 棒,1
可以 的  青春,1
有时候 电影 别看 得 那么 深 ， 作为 春节 看看 开心 的 电影 非常 不错 了,1
给 7.5 分 ， 五星 平衡 一下 恶意 刷 低分 得 水军 ， 电影 值得 看 ， 会 给 朋友 推荐 。 很想 热评 那些 刷 低分 的 一星党 ， 中国 电影 靠 你们 啦 ， 赶紧 的 ， 别光 当 键盘 侠 ， 太  low ， low 穿 地表 ！,1
瑕不掩瑜  感觉 到 了 诚意  bgm 和 梗 都 还 蛮 好  前面 回顾 一生 的 镜头 让 我 眼前一亮,1
如果 你 只 爱看 无脑 喜剧 ， 那么 这部 电影 确实 不 适合 你 ， 请 出门 右拐 。,1
补偿 式 打 5 星 。 公平 来说 6.5 ~ 7 分 。 然而 那些 打一星 人 的 评论 ， 看起来 很 无脑 黑 。 所以 打 五星 补偿 一下,1
我 严重 怀疑 我爸 就是 正太 那样 的 人,1
非常 的 好 ， 我 看到 了 从 韩寒 文字 中 走 出来 的 金毛 木木 ， 和 整个 亭林镇 ， 很 感动 。,1
其实 很 有 笑 点 啊  为什么 分数 这么 低  几个 朋友 都 觉得 蛮 好看 的 ！,1
和 老婆 一起 看 的 ， 有着 一些 不错 的 笑 点 和 连贯 流畅 的 剧情 。,1
众说纷纭 。 。 但是 我 只 知道 。 看 完 ， 我 挺 开心 的 。 。 超越 大多数 国产片 ，,1
全程无尿点 ， 一路 笑 到底 ， 很 自然 的 搞笑 。 也 很 温情 ， 两辈 人 的 矛盾 ， 两辈 人 的 理解 ， 那个年代 的 特色 。 真的 很棒 ！ 有种 电影 ， 你 也许 说不出 他 具体 哪里 好 ， 就是 觉得 它 好 ， 因为 它 哪里 都 好 。 这本 片子 完全 胜过 同时 上线 的 功夫瑜伽 和 西游 2,1
不 解释  致 徐浪,1
希望 不要 因为 一首歌 的 缘故  误杀 了 不错 的 片子  贡献 个 五星  准备 去 看,1
就是 看不起 那帮 看 都 没 看 就 给 一星 的 智障 傻 逼,1
“ 纷纷 万事 ， 直道而行 ， 这 就是 我们 的 追求 。 ” @ 韩寒  十几岁 喜欢 他 到 现在 、 从未 错过 他 的 任何 一 本书 ， 这部 电影 亦然 ， 亭林 是 他 的 情怀 徐浪 是 他 的 故友 。 演员 都 是 我 喜欢 的 演员 ， 故事 也 是 有血有肉 有 笑 有 泪 的 故事 ， 笑点 不 尴尬 ， 细节 很 走心 。 还 能 更好 ， 但 我 要 打 满分 。,1
很 好,1
必须 5 星,1
那些 打 1 星 的 确定 是 看过 电影 吗 ， 故事 逻辑 清晰 ， 对话 搞笑 ， 绝对 比 后会无期 有 进步 。,1
有 时代感 的 片子 ， 轻松自在 的 笑 点 ， 节奏 把握 也 很 好 。 就是 故事 有点 文人 气 。,1
情怀,1
笑料 很多 ， 不 生硬,1
真心 不错 的 一部 电影 ， 有 欢笑 有 感动 ！ 在 这么 一个 全家 团圆 的 日子 上映 ， 非常 值得一看 ， 特别 还有 那个年代 满满的 回忆 ！,1
穿越 有点 类似 夏洛特烦恼,1
挺 好看 的,1
哈哈哈   没事 又 可以 拿来 看看 不会 腻,1
这部 电影 演技 最好 的 是 周润发 和 张国荣 ~ 给 个 五分 吧 ， 不然 这 分数 太 可怜 了,1
可以 看 ， 很 轻松 ， 小 怀旧 。,1
头尾 都 是 120 分 ， 全程 笑点 不停 ， 就 像 韩寒 写 的 文字 一样  幽默 深刻 ， 一部 值得 掌声 且 不可思议 的 佳作 。,1
很赞,1
还是 不错 的 .,1
李荣浩 很 惊艳 啊,1
好看 一句 话  没 毛病,1
电影 其实 挺 好 的 ， 想 打 四分 ， 但是 为了 平衡 ， 我 打 了 5 分 。,1
