sentence,label
本着 陪 老婆 的 原则 坚持 看 完后 ， 我 恨不得 告诉 所有人 ： 不要 看 长城 ， 不要 上当受骗 了 ， 千万 不要 看 。 字数 有限 ， 长话短说 。 煞笔 景甜 ， 煞笔 掏粪 男孩 ， 煞笔 体操 表演 ， 煞笔 饕餮 的 各种 坑 ， 煞笔 的 热气球 ， 煞笔 的 小白 老外 ， 槽 点 太 多 ， 喷 不 过来 ！ 张艺谋 不要 拍电影 了 ， 快 退休 吧 ， 别来 骗 我们 钱 了 。 要 不 晚节不保 啊,0
 就 不能 放过 景甜 吗 ? 好好 的 姑娘 有人 爱 为什么 非要 去 演戏  尴尬 症 控制 不住 . 不能 放过 达蒙 吗 ? 一把 年纪 了 还 蹚 浑水 .,0
 比 不过 曹县 金 县长 导演 的 万人 团体操,0
 智商 堪忧,0
 过犹不及 ， 中西合璧 的 怪异,0
 看见 标志性 的 长城 拍 成 这样 ， 真心 尴尬,0
 真是 自作孽 不可 活 ！ 明明 知道 有景田 还 去 看 ， 砸 的 不是 老谋子 的 招牌 ， 如果 不是 剧中 那么 多 男配角 的 粉丝 捧场 ， 这破 电影 还有 人 花钱 去 受罪 吗 ？,0
 剧情 浮夸 ， 演技 在线 的 竟然 是 鹿晗 !,0
 听说 好多 人 被盗 号刷分 ， 我 先 打 1 分为 敬 。,0
 明 知道 是 屎 还 去 尝 一口,0
 这部 网游 宣传片 里演 的 最好 的 就是 饕餮 ， 别问 我 为什么 。,0
 觉得 剧情 太扯 ， 王俊凯 火候 还 差点 哦,0
 看后 不 知道 说 什么 好 。 以后 老谋子 拍 文艺片 我 再 去 看吧 。 唉 ！,0
 发扬 中华文化 ？ 彰显 古 中国 强大 ？ 对不起 我 没能 看出 精髓 。,0
 看过 之后 除了 被 那 只 扑 过来 的 怪兽 吓 到 之外 ， 回想 的 时候 并 没有 什么 感觉 。 这部 电影 虽说 是 张导 的 ， 但是 这部 电影 没有 内涵 ， 让 人 看过 以后 没有 什么 心理 上 震撼 ， 真 不想 看到 张艺谋 的 电影 都 成 这样 了 。 最想 吐 槽 的 是 那个 皇帝 ， 演技 一点 没有 ， 其他 演员 还好 。,0
 特效 还 ok ， 但 这 剧情 是 怎么回事 ， 这样 的 大 场面 ， 结果 全是 去 送死 ， 这么 多 的 偶像 明星 ， 全是 摆设 。,0
 张艺谋 早死 了 ！,0
 简直 不 走心 ， 什么 垃圾 演员 都 能 上 ？,0
 张艺谋 已死 ， 完全 不如 潘金莲,0
 我 一直 鼓励 国产电影 ， 努力 发掘 闪光 地方 ， 希望 能够 越来越 进步 。 张艺谋 的 电影 ， 一直 在 支持 ， 可 水平 越来越低 啊 、 啊 、 啊 ！ 怎 一个 “ 烂 ” 字 可 形容 ， 所有 方面 ！ 深感 失望 ！,0
 奥运 开幕式 2.0 ， 下面 估计 还会 有 3.04 . 0 … …,0
