sentence,label
吴亦凡 演技 捉急 ， 差评 差评 差评 ！ 年度 最烂,0
1 星 只 给 特效 打 ， 密集 恐惧症 慎入 ！ 台词 尴尬 ， 演员 0 演技 ， 剧情 哪儿 哪儿 都 让 人 觉得 what  the  fuck  。,0
我能 说 这片 比 大闹天竺 还烂 么 ？ 尴尬 的 笑 点 和 不知所云 的 剧情 ， 到处 都 是 逻辑 硬伤 ， 唐僧 说 自己 是 假装 和 悟空 闹矛盾 的 时候 我 真是 … 强行 圆 剧情 的 感觉 ， 还有 那个 女 boss 是 什么 鬼 ， 如来 咋 莫名其妙 的 就 出来 了 ， 还有 那个 红孩儿 … … 啥 玩意 啊 机械 弹簧 红孩儿 还 丑 的 要命 ， 卖 情怀 的 都 狗 带 吧,0
这个 一星 我 是 给 那些 熟悉 的 配乐 。,0
烂片,0
一星 给 特效 ， 有 多 期待 有 多 失望,0
一星 给 基情 和 特效,0
给 吴亦凡 演技 100个 赞 哦 ！,0
除了 特效 可以 ， 其它 都 烂 的 没话说 。,0
周星驰 欠 我 的,0
只想 说 烂 ， 盲目崇拜 周星驰 的 都 是 傻 逼,0
中途 离场,0
周星驰 ， 徐克 ， 这次 就 当 我 还 你们 一张 电影票 ， 但 下次 ， 下次 ， 我 绝不会 走进 电影院 看 你们 的 电影 ！,0
大概 是 最 近两年来 看过 最 无聊 的 电影 … 吴亦凡 的 演技 ， 林允 的 颜值 ， 不知所云 的 剧情 … 这时候 我 才 知道 文章 的 演技 有 多 好 … 全片 都 是 尿点 尴尬 的 吐 槽 都 无力 …,0
没意思 ， 唐僧 演 的 真 不行 。 。 。,0
吴亦凡 的 表演 好 尴尬 啊,0
长 影评 里 都 是 水军 吧  写 的 这 假大空,0
望 亲自 出演 。 早日 收山 可成 一段 佳话 。,0
大年初三 和 男盆友 一起 看 的 ， 看 完 简直 了 ， 差差 差差 差 到极点 ！ ！ 全程 冷漠 脸 ， 过时 的 笑 点 ＋ 毫无 演技 的 演员 ＋ 毫无 新意 的 旧 剧情 拼凑 成 一部 3D 展示 片 。 所谓 的 贺岁 档 只是 另一个 国产电影 保护 月 吧 ， 吸取教训 ， 下次 就算 是 在 大马路 上 吹风 溜达 把 钱 给 乞丐 也 不要 为了 打发 时间 去 看 这种 烂片 ！ 看 完 了 只有 无尽 的 恶心 。,0
看 贺岁片 吧 ， 就是 为了 和 朋友 出去 聚聚 ， 从 一堆 大便 中选 一坨 不是 那么 臭 的 来 吃 ， 看 的 尴尬 到 不行 ， 很多 桥段 没话 找 话 实在 演不下 去 的 感觉 ， 情感 和 对白 强行 靠 掰 ， 剧情 … … 基本 不 存在 … … 想 给 个 两星 最后 还是 不行 … …,0
跟 驱魔 篇 完全 不在 一个 档次 ， 连 周星驰 ， 徐克 的 招牌 都 砸 了 ， 100个 差评 。,0
徐克 一定 是 受制于 星爷 的 淫威 才 把 电影 搞 成 这样 。 大过年 的 也 就是 去 电影院 看个 春晚 。,0
槽 点 太 多 不想 写 了 ， 特效 一星 吧 ， 至少 不 只值 五毛,0
单纯 打分  解锁 看 电影 中途 离场 成就  “ 过年 看 电影 图个 乐 呵 ”  我弟 妈  真 · 乐 呵 无能  不欠 周星星 电影票 了,0
全程 尴尬 ， 太 垃圾 了 …,0
我 欠 你 的 已经 还 完 ， 你 欠 我 得 也 不必 再 还,0
